entries=2233
i,zai,name
448,330720,As72
449,330730,As73
450,330740,As74
451,330750,As75
452,330760,As76
453,330770,As77
454,330780,As78
455,330790,As79
456,330800,As80
457,330810,As81
458,330820,As82
459,330821,As82m
460,330830,As83
461,330840,As84
462,330841,As84m
463,340680,Se68
464,340690,Se69
465,340700,Se70
466,340710,Se71
467,340720,Se72
468,340730,Se73
469,340731,Se73m
470,340740,Se74
471,340750,Se75
472,340760,Se76
473,340770,Se77
474,340771,Se77m
475,340780,Se78
476,340790,Se79
477,340791,Se79m
478,340800,Se80
479,340810,Se81
480,340811,Se81m
481,340820,Se82
482,340830,Se83
483,340831,Se83m
484,340840,Se84
485,340850,Se85
486,350710,Br71
487,350720,Br72
488,350721,Br72m
489,350730,Br73
490,350740,Br74
491,350741,Br74m
492,350750,Br75
493,350760,Br76
494,350761,Br76m
495,350770,Br77
496,350771,Br77m
497,350780,Br78
498,350790,Br79
499,350791,Br79m
500,350800,Br80
501,350801,Br80m
502,350810,Br81
503,350820,Br82
504,350821,Br82m
505,350830,Br83
506,350840,Br84
507,350841,Br84m
508,350850,Br85
509,350860,Br86
510,350870,Br87
511,350880,Br88
512,360720,Kr72
513,360730,Kr73
514,360740,Kr74
515,360750,Kr75
516,360760,Kr76
517,360770,Kr77
518,360780,Kr78
519,360790,Kr79
520,360791,Kr79m
521,360800,Kr80
522,360810,Kr81
523,360811,Kr81m
524,360820,Kr82
525,360830,Kr83
526,360831,Kr83m
527,360840,Kr84
528,360850,Kr85
529,360851,Kr85m
530,360860,Kr86
531,360870,Kr87
532,360880,Kr88
533,360890,Kr89
534,360900,Kr90
535,370770,Rb77
536,370780,Rb78
537,370781,Rb78m
538,370790,Rb79
539,370800,Rb80
540,370810,Rb81
541,370811,Rb81m
542,370820,Rb82
543,370821,Rb82m
544,370830,Rb83
545,370840,Rb84
546,370841,Rb84m
547,370850,Rb85
548,370860,Rb86
549,370861,Rb86m
550,370870,Rb87
551,370880,Rb88
552,370890,Rb89
553,370900,Rb90
554,370901,Rb90m
555,370910,Rb91
556,370920,Rb92
557,370930,Rb93
558,370940,Rb94
559,380780,Sr78
560,380790,Sr79
561,380800,Sr80
562,380810,Sr81
563,380820,Sr82
564,380830,Sr83
565,380831,Sr83m
566,380840,Sr84
567,380850,Sr85
568,380851,Sr85m
569,380860,Sr86
570,380870,Sr87
571,380871,Sr87m
572,380880,Sr88
573,380890,Sr89
574,380900,Sr90
575,380910,Sr91
576,380920,Sr92
577,380930,Sr93
578,380940,Sr94
579,380950,Sr95
580,380960,Sr96
581,390810,Y81
582,390820,Y82
583,390830,Y83
584,390831,Y83m
585,390840,Y84
586,390841,Y84m
587,390850,Y85
588,390851,Y85m
589,390860,Y86
590,390861,Y86m
591,390870,Y87
592,390871,Y87m
593,390880,Y88
594,390890,Y89
595,390891,Y89m
596,390900,Y90
597,390901,Y90m
598,390910,Y91
599,390911,Y91m
600,390920,Y92
601,390930,Y93
602,390931,Y93m
603,390940,Y94
604,390950,Y95
605,390960,Y96
606,390961,Y96m
607,390970,Y97
608,390971,Y97m
609,390972,Y97n
610,390980,Y98
611,390981,Y98m
612,400820,Zr82
613,400830,Zr83
614,400840,Zr84
615,400850,Zr85
616,400851,Zr85m
617,400860,Zr86
618,400870,Zr87
619,400871,Zr87m
620,400880,Zr88
621,400890,Zr89
622,400891,Zr89m
623,400900,Zr90
624,400901,Zr90m
625,400910,Zr91
626,400920,Zr92
627,400930,Zr93
628,400940,Zr94
629,400950,Zr95
630,400960,Zr96
631,400970,Zr97
632,400980,Zr98
633,400990,Zr99
634,410860,Nb86
635,410861,Nb86m
636,410870,Nb87
637,410871,Nb87m
638,410880,Nb88
639,410881,Nb88m
640,410890,Nb89
641,410891,Nb89m
642,410900,Nb90
643,410901,Nb90m
644,410902,Nb90n
645,410910,Nb91
646,410911,Nb91m
647,410920,Nb92
648,410921,Nb92m
649,410930,Nb93
650,410931,Nb93m
651,410940,Nb94
652,410941,Nb94m
653,410950,Nb95
654,410951,Nb95m
655,410960,Nb96
656,410970,Nb97
657,410971,Nb97m
658,410980,Nb98
659,410981,Nb98m
660,410990,Nb99
661,410991,Nb99m
662,411000,Nb100
663,411001,Nb100m
664,411010,Nb101
665,411020,Nb102
666,411021,Nb102m
667,411030,Nb103
668,411040,Nb104
669,411041,Nb104m
670,420880,Mo88
671,420890,Mo89
672,420900,Mo90
673,420910,Mo91
674,420911,Mo91m
675,420920,Mo92
676,420930,Mo93
677,420931,Mo93m
678,420940,Mo94
679,420950,Mo95
680,420960,Mo96
681,420970,Mo97
682,420980,Mo98
683,420990,Mo99
684,421000,Mo100
685,421010,Mo101
686,421020,Mo102
687,421030,Mo103
688,421040,Mo104
689,421050,Mo105
690,430900,Tc90
691,430901,Tc90m
692,430910,Tc91
693,430911,Tc91m
694,430920,Tc92
695,430930,Tc93
696,430931,Tc93m
697,430940,Tc94
698,430941,Tc94m
699,430950,Tc95
700,430951,Tc95m
701,430960,Tc96
702,430961,Tc96m
703,430970,Tc97
704,430971,Tc97m
705,430980,Tc98
706,430990,Tc99
707,430991,Tc99m
708,431000,Tc100
709,431010,Tc101
710,431020,Tc102
711,431021,Tc102m
712,431030,Tc103
713,431040,Tc104
714,431050,Tc105
715,431060,Tc106
716,431070,Tc107
717,431080,Tc108
718,431090,Tc109
719,440920,Ru92
720,440930,Ru93
721,440931,Ru93m
722,440940,Ru94
723,440950,Ru95
724,440960,Ru96
725,440970,Ru97
726,440980,Ru98
727,440990,Ru99
728,441000,Ru100
729,441010,Ru101
730,441020,Ru102
731,441030,Ru103
732,441040,Ru104
733,441050,Ru105
734,441060,Ru106
735,441070,Ru107
736,441080,Ru108
737,441090,Ru109
738,441100,Ru110
739,441110,Ru111
740,450950,Rh95
741,450951,Rh95m
742,450960,Rh96
743,450961,Rh96m
744,450970,Rh97
745,450971,Rh97m
746,450980,Rh98
747,450981,Rh98m
748,450990,Rh99
749,450991,Rh99m
750,451000,Rh100
751,451001,Rh100m
752,451010,Rh101
753,451011,Rh101m
754,451020,Rh102
755,451021,Rh102m
756,451030,Rh103
757,451031,Rh103m
758,451040,Rh104
759,451041,Rh104m
760,451050,Rh105
761,451051,Rh105m
762,451060,Rh106
763,451061,Rh106m
764,451070,Rh107
765,451080,Rh108
766,451081,Rh108m
767,451090,Rh109
768,451100,Rh110
