entries=2233,dt=8.346980000000000e+07
i,zai,name,n_0,n_dt
253,230550,V55,0.000000000000000e+00,0.000000000000000e+00
254,230560,V56,0.000000000000000e+00,0.000000000000000e+00
255,230570,V57,0.000000000000000e+00,0.000000000000000e+00
256,230580,V58,0.000000000000000e+00,0.000000000000000e+00
257,240460,Cr46,0.000000000000000e+00,0.000000000000000e+00
258,240470,Cr47,0.000000000000000e+00,0.000000000000000e+00
259,240480,Cr48,0.000000000000000e+00,0.000000000000000e+00
260,240490,Cr49,0.000000000000000e+00,0.000000000000000e+00
261,240500,Cr50,0.000000000000000e+00,0.000000000000000e+00
262,240510,Cr51,0.000000000000000e+00,0.000000000000000e+00
263,240520,Cr52,0.000000000000000e+00,0.000000000000000e+00
264,240530,Cr53,0.000000000000000e+00,0.000000000000000e+00
265,240540,Cr54,0.000000000000000e+00,0.000000000000000e+00
266,240550,Cr55,0.000000000000000e+00,0.000000000000000e+00
267,240560,Cr56,0.000000000000000e+00,0.000000000000000e+00
268,240570,Cr57,0.000000000000000e+00,0.000000000000000e+00
269,240580,Cr58,0.000000000000000e+00,0.000000000000000e+00
270,240590,Cr59,0.000000000000000e+00,0.000000000000000e+00
271,250480,Mn48,0.000000000000000e+00,0.000000000000000e+00
272,250490,Mn49,0.000000000000000e+00,0.000000000000000e+00
273,250500,Mn50,0.000000000000000e+00,0.000000000000000e+00
274,250501,Mn50m,0.000000000000000e+00,0.000000000000000e+00
275,250510,Mn51,0.000000000000000e+00,0.000000000000000e+00
276,250520,Mn52,0.000000000000000e+00,0.000000000000000e+00
277,250521,Mn52m,0.000000000000000e+00,0.000000000000000e+00
278,250530,Mn53,0.000000000000000e+00,0.000000000000000e+00
279,250540,Mn54,0.000000000000000e+00,0.000000000000000e+00
280,250550,Mn55,0.000000000000000e+00,0.000000000000000e+00
281,250560,Mn56,0.000000000000000e+00,0.000000000000000e+00
282,250570,Mn57,0.000000000000000e+00,0.000000000000000e+00
283,250580,Mn58,0.000000000000000e+00,0.000000000000000e+00
284,250581,Mn58m,0.000000000000000e+00,0.000000000000000e+00
285,250590,Mn59,0.000000000000000e+00,0.000000000000000e+00
286,250600,Mn60,0.000000000000000e+00,0.000000000000000e+00
287,250601,Mn60m,0.000000000000000e+00,0.000000000000000e+00
288,250610,Mn61,0.000000000000000e+00,0.000000000000000e+00
289,250620,Mn62,0.000000000000000e+00,0.000000000000000e+00
290,250630,Mn63,0.000000000000000e+00,0.000000000000000e+00
291,250640,Mn64,0.000000000000000e+00,0.000000000000000e+00
292,260490,Fe49,0.000000000000000e+00,0.000000000000000e+00
293,260500,Fe50,0.000000000000000e+00,0.000000000000000e+00
294,260510,Fe51,0.000000000000000e+00,0.000000000000000e+00
295,260520,Fe52,0.000000000000000e+00,0.000000000000000e+00
296,260521,Fe52m,0.000000000000000e+00,0.000000000000000e+00
297,260530,Fe53,0.000000000000000e+00,0.000000000000000e+00
298,260531,Fe53m,0.000000000000000e+00,0.000000000000000e+00
299,260540,Fe54,0.000000000000000e+00,0.000000000000000e+00
300,260550,Fe55,0.000000000000000e+00,0.000000000000000e+00
301,260560,Fe56,0.000000000000000e+00,0.000000000000000e+00
302,260570,Fe57,0.000000000000000e+00,0.000000000000000e+00
303,260580,Fe58,0.000000000000000e+00,0.000000000000000e+00
304,260590,Fe59,0.000000000000000e+00,0.000000000000000e+00
305,260600,Fe60,0.000000000000000e+00,0.000000000000000e+00
306,260610,Fe61,0.000000000000000e+00,0.000000000000000e+00
307,260620,Fe62,0.000000000000000e+00,0.000000000000000e+00
308,260630,Fe63,0.000000000000000e+00,0.000000000000000e+00
309,260640,Fe64,0.000000000000000e+00,0.000000000000000e+00
310,260650,Fe65,0.000000000000000e+00,0.000000000000000e+00
311,270520,Co52,0.000000000000000e+00,0.000000000000000e+00
312,270530,Co53,0.000000000000000e+00,0.000000000000000e+00
313,270540,Co54,0.000000000000000e+00,0.000000000000000e+00
314,270541,Co54m,0.000000000000000e+00,0.000000000000000e+00
315,270550,Co55,0.000000000000000e+00,0.000000000000000e+00
316,270560,Co56,0.000000000000000e+00,0.000000000000000e+00
317,270570,Co57,0.000000000000000e+00,0.000000000000000e+00
318,270580,Co58,0.000000000000000e+00,0.000000000000000e+00
319,270581,Co58m,0.000000000000000e+00,0.000000000000000e+00
320,270590,Co59,0.000000000000000e+00,0.000000000000000e+00
321,270600,Co60,0.000000000000000e+00,0.000000000000000e+00
322,270601,Co60m,0.000000000000000e+00,0.000000000000000e+00
323,270610,Co61,0.000000000000000e+00,0.000000000000000e+00
324,270620,Co62,0.000000000000000e+00,0.000000000000000e+00
325,270621,Co62m,0.000000000000000e+00,0.000000000000000e+00
326,270630,Co63,0.000000000000000e+00,0.000000000000000e+00
327,270640,Co64,0.000000000000000e+00,0.000000000000000e+00
328,270650,Co65,0.000000000000000e+00,0.000000000000000e+00
329,270660,Co66,0.000000000000000e+00,0.000000000000000e+00
330,270670,Co67,0.000000000000000e+00,0.000000000000000e+00
331,270680,Co68,0.000000000000000e+00,0.000000000000000e+00
332,270681,Co68m,0.000000000000000e+00,0.000000000000000e+00
333,270690,Co69,0.000000000000000e+00,0.000000000000000e+00
334,280530,Ni53,0.000000000000000e+00,0.000000000000000e+00
335,280540,Ni54,0.000000000000000e+00,0.000000000000000e+00
336,280550,Ni55,0.000000000000000e+00,0.000000000000000e+00
337,280560,Ni56,0.000000000000000e+00,0.000000000000000e+00
338,280570,Ni57,0.000000000000000e+00,0.000000000000000e+00
339,280580,Ni58,0.000000000000000e+00,0.000000000000000e+00
340,280590,Ni59,0.000000000000000e+00,0.000000000000000e+00
341,280600,Ni60,0.000000000000000e+00,0.000000000000000e+00
342,280610,Ni61,0.000000000000000e+00,0.000000000000000e+00
343,280620,Ni62,0.000000000000000e+00,0.000000000000000e+00
344,280630,Ni63,0.000000000000000e+00,0.000000000000000e+00
345,280640,Ni64,0.000000000000000e+00,0.000000000000000e+00
346,280650,Ni65,0.000000000000000e+00,0.000000000000000e+00
347,280660,Ni66,0.000000000000000e+00,0.000000000000000e+00
348,280670,Ni67,0.000000000000000e+00,0.000000000000000e+00
349,280680,Ni68,0.000000000000000e+00,0.000000000000000e+00
350,280690,Ni69,0.000000000000000e+00,0.000000000000000e+00
351,280691,Ni69m,0.000000000000000e+00,0.000000000000000e+00
352,280700,Ni70,0.000000000000000e+00,0.000000000000000e+00
