entries=2233,dt=1.000000000000000e+05
i,zai,name,n_0,n_dt
108,130300,Al30,1.000000000000000e+20,1.911921079906898e-34
109,130310,Al31,1.000000000000000e+20,1.769777544775665e-34
110,130320,Al32,1.000000000000000e+20,0.000000000000000e+00
111,130330,Al33,1.000000000000000e+20,2.901793469772936e-74
112,130340,Al34,1.000000000000000e+20,0.000000000000000e+00
113,140250,Si25,1.000000000000000e+20,0.000000000000000e+00
114,140260,Si26,1.000000000000000e+20,3.285824686534495e-38
115,140270,Si27,1.000000000000000e+20,2.039221497571921e-37
116,140280,Si28,1.000000000000000e+20,4.365293474886243e+20
117,140290,Si29,1.000000000000000e+20,6.042012979399984e+20
118,140300,Si30,1.000000000000000e+20,5.749286020600005e+20
119,140310,Si31,1.000000000000000e+20,1.890001277212002e+17
120,140320,Si32,1.000000000000000e+20,2.084965306330855e+20
121,140330,Si33,1.000000000000000e+20,0.000000000000000e+00
122,140340,Si34,1.000000000000000e+20,1.029540437770722e-36
123,140350,Si35,1.000000000000000e+20,9.184449123949985e-34
124,140360,Si36,1.000000000000000e+20,0.000000000000000e+00
125,150280,P28,1.000000000000000e+20,0.000000000000000e+00
126,150290,P29,1.000000000000000e+20,0.000000000000000e+00
127,150300,P30,1.000000000000000e+20,2.645917756413694e-24
128,150310,P31,1.000000000000000e+20,4.936109998722785e+20
129,150320,P32,1.000000000000000e+20,9.453653416610226e+19
130,150330,P33,1.000000000000000e+20,2.945425979712826e+20
131,150340,P34,1.000000000000000e+20,0.000000000000000e+00
132,150350,P35,1.000000000000000e+20,7.083934667764597e-23
133,150360,P36,1.000000000000000e+20,1.436532526404312e-34
134,150370,P37,1.000000000000000e+20,2.257588898013576e-38
135,150380,P38,1.000000000000000e+20,6.225563941067946e-35
136,150390,P39,1.000000000000000e+20,1.411660745317687e-47
137,150400,P40,1.000000000000000e+20,8.534995024706141e-50
138,160290,S29,1.000000000000000e+20,6.093052831728185e-48
139,160300,S30,1.000000000000000e+20,0.000000000000000e+00
140,160310,S31,1.000000000000000e+20,1.705403233975324e-37
141,160320,S32,1.000000000000000e+20,2.394669352008125e+20
142,160330,S33,1.000000000000000e+20,2.754574020287169e+20
143,160340,S34,1.000000000000000e+20,6.874999999999974e+20
144,160350,S35,1.000000000000000e+20,2.972576222257368e+20
145,160360,S36,1.000000000000000e+20,3.000000000138646e+20
146,160370,S37,1.000000000000000e+20,5.280921181768551e-21
147,160380,S38,1.000000000000000e+20,2.558726514994862e+17
148,160390,S39,1.000000000000000e+20,4.467963749668822e-31
149,160400,S40,1.000000000000000e+20,0.000000000000000e+00
150,160410,S41,1.000000000000000e+20,2.705091008837102e-37
151,170320,Cl32,1.000000000000000e+20,3.355815469808489e-42
152,170330,Cl33,1.000000000000000e+20,2.713841883554852e-37
153,170340,Cl34,1.000000000000000e+20,6.434347263379196e+00
154,170341,Cl34m,1.000000000000000e+20,1.690521791085714e+04
155,170350,Cl35,1.000000000000000e+20,2.027423777742628e+20
156,170360,Cl36,1.000000000000000e+20,9.999999927026601e+19
157,170370,Cl37,1.000000000000000e+20,3.050702406393529e+20
158,170380,Cl38,1.000000000000000e+20,7.151361860483585e+16
159,170381,Cl38m,1.000000000000000e+20,0.000000000000000e+00
160,170390,Cl39,1.000000000000000e+20,2.716596352124909e+11
161,170400,Cl40,1.000000000000000e+20,7.262043707185203e-21
162,170410,Cl41,1.000000000000000e+20,2.891485447413296e-20
163,170420,Cl42,1.000000000000000e+20,0.000000000000000e+00
